fb98,Taylor,Fritz,USA,1997.10.28,1997,10,28,2015,86,190,196,77,"Rancho Santa Fe, CA, USA"
n771,Cameron,Norrie,GBR,1995.08.23,1995,8,23,2017,82,181,188,74,"Johannesburg, South Africa"
m873,Nicolas,Mahut,FRA,1982.01.21,1982,1,21,2000,82,181,191,75,"Angers, France"
w035,Mark,Woodforde,AUS,1965.09.23,1965,9,23,1984,88,195,188,74,"Adelaide, Australia"
s381,Jan,Siemerink,NED,1970.04.14,1970,4,14,1989,73,162,183,72,"Rijnsburg, Netherlands"
s636,Rainer,Schuettler,GER,1976.04.25,1976,4,25,1995,74,163,180,71,"Korbach, Germany"
p154,Frank,Parker,USA,1916.01.31,1916,1,31,,,,,,"Milwaukee, WI, U.S.A."
sm37,Diego,Schwartzman,ARG,1992.08.16,1992,8,16,2010,64,141,170,67,"Buenos Aires, Argentina"
h132,Lew,Hoad,AUS,1934.11.23,1934,11,23,,,,,,Glebe
w002,Butch,Walts,USA,1955.06.04,1955,6,4,,79,175,193,76,"Modesto, CA"
e140,Nicolas,Escude,FRA,1976.04.03,1976,4,3,1995,70,155,185,73,"Chartres, France"
r772,Albert,Ramos-Vinolas,ESP,1988.01.17,1988,1,17,2007,76,168,188,74,"Barcelona, Spain"
f164,Richard,Fromberg,AUS,1970.04.28,1970,4,28,1988,88,195,196,77,"Ulverstone,Tasmania, Australia"
sc77,Sergiy,Stakhovsky,UKR,1986.01.06,1986,1,6,2003,80,176,193,76,"Kiev, Ukraine"
g048,Tim,Gullikson,USA,1951.09.08,1951,9,8,,79,175,180,71,"Lacrosse, WI, U.S.A."
g710,Marcel,Granollers,ESP,1986.04.12,1986,4,12,2003,80,176,191,75,"Barcelona, Spain"
t742,Janko,Tipsarevic,SRB,1984.06.22,1984,6,22,2002,80,176,180,71,"Belgrade, Serbia"
g015,Hans,Gildemeister,CHI,1956.02.09,1956,2,9,,85,187,180,71,"Lima, Peru"
s331,Jason,Stoltenberg,AUS,1970.04.04,1970,4,4,1987,80,177,185,73,"Narrabri, NSW, Australia"
p074,Andrew,Pattison,ZIM,1949.01.30,1949,1,30,,82,180,188,74,"Pretoria, South Africa"
j386,Steve,Johnson,USA,1989.12.24,1989,12,24,2012,86,190,188,74,"Orange, CA, USA"
m055,Karl,Meiler,GER,1949.04.30,1949,4,30,,75,165,178,70,"Erlangen, Germany"
w124,MaliVai,Washington,USA,1969.06.20,1969,6,20,1989,79,175,180,71,"Glen Cove, NY"
a596,Pablo,Andujar,ESP,1986.01.23,1986,1,23,2003,80,176,180,71,"Cuenca, Spain"
d008,Horacio,de la Pena,ARG,1966.08.01,1966,8,1,1984,72,158,180,71,"Buenos Aires, Argentina"
b820,Jean,Borotra,FRA,,,,,,,,,,"Biarritz, France"
